Course_name,ML_projects,AI,R_programming,Computer_Vision,Tensorflow,Deep_learning,Python,Backpropagation,Artificial_Neural_Network,Data_structure,Java,MATLAB,Data_visualization,Cloud_computing,Realiability,Communication,Public_speaking
AI For Everyone,1,1,,,,,,,,,,,,,,,
"introduction to TensorFlow for Artificial Intelligence, Machine Learning, and Deep Learning",1,,,1,1,,,,,,,,,,,,
Neural Networks and Deep Learning,,,,,,1,1,1,,,,,,,,,
"Algorithms, Part I",,,,,,,,,1,1,1,,,,,,
"Algorithms, Part II",,,,,,,,,,1,,,,,,,
Machine Learning,1,,,,,,,,1,,,,,,,,
Machine Learning with Python,1,,,,,,,,,,,,,,,,
Machine Learning Using SAS Viya,1,,,,,,,,1,,,,,,,,
R Programming,1,,1,,,,,,,,,,,,,,
Introduction to Programming with MATLAB,1,,,,,,,,,,,1,,,,,
Data Analysis with Python,1,,,,,,1,,,,,,1,,,,
AWS Fundamentals: Going Cloud-Native,,,,,,,,,,,,,,1,,,
Google Cloud Platform Fundamentals: Core Infrastructure,,,,,,,,,,,,,,1,,,
Site Reliability Engineering: Measuring and Managing Reliability,,,,,,,,,,,,,,,1,,
"Speak English Professionally: In Person, Online & On the Phone",,,,,,,,,,,,,,,,1,1
